time_s,marker,body_x_m,body_y_m,body_z_m,roll_deg,pitch_deg,yaw_deg,hip_FR_deg,hip_FL_deg,hip_BR_deg,hip_BL_deg,cmd_FR_deg,cmd_FL_deg,cmd_BR_deg,cmd_BL_deg,wheel_FR_deg,wheel_FL_deg,wheel_BR_deg,wheel_BL_deg,force_FR_N,force_FL_N,force_BR_N,force_BL_N
5.0210000000000115,,-0.1124018747389638,-0.020813693117483188,0.1377801487462147,15.714804276215917,-13.380275871962947,-18.749074757406444,-34.58366968053069,-33.03529772438721,35.86699349824062,36.95063953226815,-35.0,-35.0,35.0,35.0,-6.015523290672542,-5.474286182298248,5.277134980600751,5.670793291793306,0.0,12.750281761228516,10.059398304270331,5.622468037242146
5.041000000000018,,-0.11239543631570173,-0.0208181417202321,0.13777992295110475,15.717259117933272,-13.37708047480796,-18.75805924248165,-34.58411139384273,-33.05014135971633,35.88310001130787,36.95265838207061,-35.0,-35.0,35.0,35.0,-6.015519327247626,-5.490640108393086,5.292947246789563,5.671182030743063,0.0,12.750993240629192,10.059604095408442,5.622010031466344
5.061000000000025,,-0.11238915131241772,-0.020822318008888143,0.13777975301770712,15.719592054121712,-13.373980006622366,-18.766685220384687,-34.58451027722351,-33.0644840879103,35.89853790310841,36.95449429577731,-35.0,-35.0,35.0,35.0,-6.015515699780735,-5.506450406058955,5.308106038819047,5.671688602967377,0.0,12.751693061899807,10.059812263534964,5.621558768355011
5.0810000000000315,,-0.11238301834365175,-0.020826236620343434,0.1377796348498683,15.721809304463866,-13.370972238643827,-18.77496736044483,-34.58487044894963,-33.078343053230775,35.91333520817048,36.956159537210986,-35.0,-35.0,35.0,35.0,-6.015512379858989,-5.521734737714079,5.322638992747139,5.67230265835773,0.0,12.752381106675449,10.060022186308188,5.62111439311122
5.101000000000038,,-0.11237703582663544,-0.02082991147744672,0.13777956458625668,15.723916755624584,-13.368054939556322,-18.78291971874804,-34.585195632521646,-33.0917347772563,35.927518800313464,36.957665610548275,-35.0,-35.0,35.0,35.0,-6.015509341555649,-5.536510227522146,5.336572566088506,5.673014502382739,0.0,12.753057275470216,10.060233296561716,5.620677033270564
5.121000000000045,,-0.11237120200518486,-0.020833355819887794,0.13777953858857564,15.725919980556595,-13.365225882075709,-18.790555764134737,-34.58548919446373,-33.10467518564677,35.94111443783111,36.959023307712414,-35.0,-35.0,35.0,35.0,-6.015506561204796,-5.550793473780886,5.349932086158353,5.673815059729363,0.0,12.753721487327176,10.06044507813224,5.62024679933556
5.1410000000000515,,-0.11236551497145865,-0.020836582234042493,0.1377795534303015,15.727824256552966,-13.3624828487531,-18.797888403097303,-34.58575417850564,-33.11717963333824,35.954146807232924,36.96024275261269,-35.0,-35.0,35.0,35.0,-6.015504017196754,-5.564600561587937,5.362741796864524,5.674695839756182,0.0,12.754373679358874,10.060657061964612,5.619823785476848
5.161000000000058,,-0.11235997268576732,-0.02083960268178426,0.1377796058859258,15.7296345821396,-13.35982363707288,-18.80493000362192,-34.58599333649299,-33.129262928295574,35.96663956555826,36.96133344246385,-35.0,-35.0,35.0,35.0,-6.015501689792819,-5.577947075680162,5.375024903921265,5.675648903687576,0.0,12.755013806228995,10.060868822476634,5.6194080702788725
5.181000000000065,,-0.11235457299459654,-0.020842428528272502,0.13777969292068468,15.731355692891846,-13.357246063913342,-18.811692418017223,-34.58620915633923,-33.140939353937576,35.978615381280555,36.96230428639829,-35.0,-35.0,35.0,35.0,-6.01549956095695,-5.590848113359544,5.386803618473916,5.676666833476455,0.0,12.755641839567625,10.061079974172792,5.618999717499067
5.201000000000072,,-0.11234931364699774,-0.020845070568731746,0.13777981168075443,15.73299207625368,-13.354747969431974,-18.818187004771797,-34.586403887302076,-33.152222690338114,35.99009597382236,36.963163641567014,-35.0,-35.0,35.0,35.0,-6.015497614203186,-5.60331829743328,5.398099199136707,5.677742702263899,0.0,12.756257767344158,10.061290168522003,5.618598776828896
